Komoditas (Rp),Tanggal,Harga,Wilayah
Bawang Merah,2020-06-09,46250.0,Bukittinggi
Bawang Merah,2020-06-10,45750.0,Bukittinggi
Bawang Merah,2020-06-11,45750.0,Bukittinggi
Bawang Merah,2020-06-12,45750.0,Bukittinggi
Bawang Merah,2020-06-15,42000.0,Bukittinggi
Bawang Merah,2020-06-16,42000.0,Bukittinggi
Bawang Merah,2020-06-17,39000.0,Bukittinggi
Bawang Merah,2020-06-18,38750.0,Bukittinggi
Bawang Merah,2020-06-19,34250.0,Bukittinggi
Bawang Merah,2020-06-22,34250.0,Bukittinggi
Bawang Merah,2020-06-23,34250.0,Bukittinggi
Bawang Merah,2020-06-24,36750.0,Bukittinggi
Bawang Merah,2020-06-25,34250.0,Bukittinggi
Bawang Merah,2020-06-26,35500.0,Bukittinggi
Bawang Merah,2020-06-29,36000.0,Bukittinggi
Bawang Merah,2020-06-30,35500.0,Bukittinggi
Bawang Merah,2020-07-01,31500.0,Bukittinggi
Bawang Merah,2020-07-02,31500.0,Bukittinggi
Bawang Merah,2020-07-03,31000.0,Bukittinggi
Bawang Merah,2020-07-06,31000.0,Bukittinggi
Bawang Merah,2020-07-07,32750.0,Bukittinggi
Bawang Merah,2020-07-08,32750.0,Bukittinggi
Bawang Merah,2020-07-09,31750.0,Bukittinggi
Bawang Merah,2020-07-10,31000.0,Bukittinggi
Bawang Merah,2020-07-13,31000.0,Bukittinggi
Bawang Merah,2020-07-14,30500.0,Bukittinggi
Bawang Merah,2020-07-15,28000.0,Bukittinggi
Bawang Merah,2020-07-16,28000.0,Bukittinggi
Bawang Merah,2020-07-17,28000.0,Bukittinggi
Bawang Merah,2020-07-20,29250.0,Bukittinggi
Bawang Merah,2020-07-21,29250.0,Bukittinggi
Bawang Merah,2020-07-22,29250.0,Bukittinggi
Bawang Merah,2020-07-23,29250.0,Bukittinggi
Bawang Merah,2020-07-24,28750.0,Bukittinggi
Bawang Merah,2020-07-27,28750.0,Bukittinggi
Bawang Merah,2020-07-28,28750.0,Bukittinggi
Bawang Merah,2020-07-29,28750.0,Bukittinggi
Bawang Merah,2020-07-30,28750.0,Bukittinggi
Bawang Merah,2020-07-31,,Bukittinggi
Bawang Merah,2020-08-03,28750.0,Bukittinggi
Bawang Merah,2020-08-04,27750.0,Bukittinggi
Bawang Merah,2020-08-05,27750.0,Bukittinggi
Bawang Merah,2020-08-06,27000.0,Bukittinggi
Bawang Merah,2020-08-07,27000.0,Bukittinggi
Bawang Merah,2020-08-10,28500.0,Bukittinggi
Bawang Merah,2020-08-11,28500.0,Bukittinggi
Bawang Merah,2020-08-12,29000.0,Bukittinggi
Bawang Merah,2020-08-13,29000.0,Bukittinggi
Bawang Merah,2020-08-14,28250.0,Bukittinggi
Bawang Merah,2020-08-17,,Bukittinggi
Bawang Merah,2020-08-18,28250.0,Bukittinggi
Bawang Merah,2020-08-19,28250.0,Bukittinggi
Bawang Merah,2020-08-20,,Bukittinggi
Bawang Merah,2020-08-21,,Bukittinggi
Bawang Merah,2020-08-24,28250.0,Bukittinggi
Bawang Merah,2020-08-25,28250.0,Bukittinggi
Bawang Merah,2020-08-26,28250.0,Bukittinggi
Bawang Merah,2020-08-27,28250.0,Bukittinggi
Bawang Merah,2020-08-28,27750.0,Bukittinggi
Bawang Merah,2020-08-31,27750.0,Bukittinggi
Bawang Merah,2020-09-01,27750.0,Bukittinggi
Bawang Merah,2020-09-02,28250.0,Bukittinggi
Bawang Merah,2020-09-03,28250.0,Bukittinggi
Bawang Merah,2020-09-04,25750.0,Bukittinggi
Bawang Merah,2020-09-07,27500.0,Bukittinggi
Bawang Merah,2020-09-08,27500.0,Bukittinggi
Bawang Merah,2020-09-09,27500.0,Bukittinggi
Bawang Merah,2020-09-10,27500.0,Bukittinggi
Bawang Merah,2020-09-11,27500.0,Bukittinggi
Bawang Merah,2020-09-14,28000.0,Bukittinggi
Bawang Merah,2020-09-15,28250.0,Bukittinggi
Bawang Merah,2020-09-16,28250.0,Bukittinggi
Bawang Merah,2020-09-17,27750.0,Bukittinggi
Bawang Merah,2020-09-18,27750.0,Bukittinggi
Bawang Merah,2020-09-21,27750.0,Bukittinggi
Bawang Merah,2020-09-22,27750.0,Bukittinggi
Bawang Merah,2020-09-23,27750.0,Bukittinggi
Bawang Merah,2020-09-24,27750.0,Bukittinggi
Bawang Merah,2020-09-25,27750.0,Bukittinggi
Bawang Merah,2020-09-28,27750.0,Bukittinggi
Bawang Merah,2020-09-29,27750.0,Bukittinggi
Bawang Merah,2020-09-30,26750.0,Bukittinggi
Bawang Merah,2020-10-01,26750.0,Bukittinggi
Bawang Merah,2020-10-02,26750.0,Bukittinggi
Bawang Merah,2020-10-05,26750.0,Bukittinggi
Bawang Merah,2020-10-06,26750.0,Bukittinggi
Bawang Merah,2020-10-07,28500.0,Bukittinggi
Bawang Merah,2020-10-08,28500.0,Bukittinggi
Bawang Merah,2020-10-09,28500.0,Bukittinggi
Bawang Merah,2020-10-12,27250.0,Bukittinggi
Bawang Merah,2020-10-13,28250.0,Bukittinggi
Bawang Merah,2020-10-14,28750.0,Bukittinggi
Bawang Merah,2020-10-15,28750.0,Bukittinggi
Bawang Merah,2020-10-16,28750.0,Bukittinggi
Bawang Merah,2020-10-19,28250.0,Bukittinggi
Bawang Merah,2020-10-20,28250.0,Bukittinggi
Bawang Merah,2020-10-21,28250.0,Bukittinggi
Bawang Merah,2020-10-22,28250.0,Bukittinggi
Bawang Merah,2020-10-23,28250.0,Bukittinggi
Bawang Merah,2020-10-26,29000.0,Bukittinggi
Bawang Merah,2020-10-27,29000.0,Bukittinggi
Bawang Merah,2020-10-28,,Bukittinggi
Bawang Merah,2020-10-29,,Bukittinggi
Bawang Merah,2020-10-30,,Bukittinggi
Bawang Merah,2020-11-02,31500.0,Bukittinggi
Bawang Merah,2020-11-03,31500.0,Bukittinggi
Bawang Merah,2020-11-04,31500.0,Bukittinggi
Bawang Merah,2020-11-05,31500.0,Bukittinggi
Bawang Merah,2020-11-06,31500.0,Bukittinggi
Bawang Merah,2020-11-09,31500.0,Bukittinggi
Bawang Merah,2020-11-10,31500.0,Bukittinggi
Bawang Merah,2020-11-11,33500.0,Bukittinggi
Bawang Merah,2020-11-12,33500.0,Bukittinggi
Bawang Merah,2020-11-13,35250.0,Bukittinggi
Bawang Merah,2020-11-16,34000.0,Bukittinggi
Bawang Merah,2020-11-17,34000.0,Bukittinggi
Bawang Merah,2020-11-18,32750.0,Bukittinggi
Bawang Merah,2020-11-19,32250.0,Bukittinggi
Bawang Merah,2020-11-20,32250.0,Bukittinggi
Bawang Merah,2020-11-23,30000.0,Bukittinggi
Bawang Merah,2020-11-24,28750.0,Bukittinggi
Bawang Merah,2020-11-25,30500.0,Bukittinggi
Bawang Merah,2020-11-26,30500.0,Bukittinggi
Bawang Merah,2020-11-27,30500.0,Bukittinggi
Bawang Merah,2020-11-30,31000.0,Bukittinggi
Bawang Merah,2020-12-01,31000.0,Bukittinggi
Bawang Merah,2020-12-02,31000.0,Bukittinggi
Bawang Merah,2020-12-03,30500.0,Bukittinggi
Bawang Merah,2020-12-04,29500.0,Bukittinggi
Bawang Merah,2020-12-07,27500.0,Bukittinggi
Bawang Merah,2020-12-08,27500.0,Bukittinggi
Bawang Merah,2020-12-09,,Bukittinggi
Bawang Merah,2020-12-10,27500.0,Bukittinggi
Bawang Merah,2020-12-11,27500.0,Bukittinggi
Bawang Merah,2020-12-14,26750.0,Bukittinggi
Bawang Merah,2020-12-15,25500.0,Bukittinggi
Bawang Merah,2020-12-16,25250.0,Bukittinggi
Bawang Merah,2020-12-17,26500.0,Bukittinggi
Bawang Merah,2020-12-18,26500.0,Bukittinggi
Bawang Merah,2020-12-21,26500.0,Bukittinggi
Bawang Merah,2020-12-22,26500.0,Bukittinggi
Bawang Merah,2020-12-23,26500.0,Bukittinggi
Bawang Merah,2020-12-24,,Bukittinggi
Bawang Merah,2020-12-25,,Bukittinggi
Bawang Merah,2020-12-28,28000.0,Bukittinggi
Bawang Merah,2020-12-29,29000.0,Bukittinggi
Bawang Merah,2020-12-30,28500.0,Bukittinggi
Bawang Merah,2020-12-31,,Bukittinggi
Bawang Merah,2021-01-01,,Bukittinggi
Bawang Merah,2021-01-04,27250.0,Bukittinggi
Bawang Merah,2021-01-05,27750.0,Bukittinggi
Bawang Merah,2021-01-06,27750.0,Bukittinggi
Bawang Merah,2021-01-07,27750.0,Bukittinggi
Bawang Merah,2021-01-08,27750.0,Bukittinggi
Bawang Merah,2021-01-11,27750.0,Bukittinggi
Bawang Merah,2021-01-12,27750.0,Bukittinggi
Bawang Merah,2021-01-13,27750.0,Bukittinggi
Bawang Merah,2021-01-14,27750.0,Bukittinggi
Bawang Merah,2021-01-15,27750.0,Bukittinggi
Bawang Merah,2021-01-18,26500.0,Bukittinggi
Bawang Merah,2021-01-19,27750.0,Bukittinggi
Bawang Merah,2021-01-20,27750.0,Bukittinggi
Bawang Merah,2021-01-21,27750.0,Bukittinggi
Bawang Merah,2021-01-22,27750.0,Bukittinggi
Bawang Merah,2021-01-25,27750.0,Bukittinggi
Bawang Merah,2021-01-26,27750.0,Bukittinggi
Bawang Merah,2021-01-27,27000.0,Bukittinggi
Bawang Merah,2021-01-28,27000.0,Bukittinggi
Bawang Merah,2021-01-29,27000.0,Bukittinggi
Bawang Merah,2021-02-01,27000.0,Bukittinggi
Bawang Merah,2021-02-02,27000.0,Bukittinggi
Bawang Merah,2021-02-03,26500.0,Bukittinggi
Bawang Merah,2021-02-04,26500.0,Bukittinggi
Bawang Merah,2021-02-05,27000.0,Bukittinggi
Bawang Merah,2021-02-08,27750.0,Bukittinggi
Bawang Merah,2021-02-09,27750.0,Bukittinggi
Bawang Merah,2021-02-10,27750.0,Bukittinggi
Bawang Merah,2021-02-11,27750.0,Bukittinggi
Bawang Merah,2021-02-12,,Bukittinggi
Bawang Merah,2021-02-15,28250.0,Bukittinggi
Bawang Merah,2021-02-16,28750.0,Bukittinggi
Bawang Merah,2021-02-17,28750.0,Bukittinggi
Bawang Merah,2021-02-18,28750.0,Bukittinggi
Bawang Merah,2021-02-19,28750.0,Bukittinggi
Bawang Merah,2021-02-22,28750.0,Bukittinggi
